fid,ObjectId,GS Type,Sample Site,No_civique,Species Code,Species Latin,ESSENCE_AN,DBH,Date_relev,Longitude,Latitude,GlobalID
12419,204440,Street,Rue Saint-Marc,2000,ACSA,Acer saccharinum,Silver Maple,27,6/27/2017 12:00:00 AM,-73.582091,45.493711,884b204b-2f1a-4960-a559-7c34237f7f4e
12604,203032,Street,Rue Pierce,1419,ACSA,Acer saccharinum,Silver Maple,31,1/12/2012 12:00:00 AM,-73.579174,45.494851,091ac25d-d05e-407b-bdbc-9b6e6033a5e2
12605,203033,Street,Rue Pierce,1419,ACSA,Acer saccharinum,Silver Maple,38,1/12/2012 12:00:00 AM,-73.57928,45.494909,2b4f9a98-79f0-4283-b05f-06adf29705ff
12606,203034,Street,Rue Pierce,1419,ACSA,Acer saccharinum,Silver Maple,24,1/12/2012 12:00:00 AM,-73.579523,45.495049,644722a1-e27f-46ef-bd86-34505518a8c4
12607,203035,Street,Rue Pierce,1419,ACSA,Acer saccharinum,Silver Maple,36,1/12/2012 12:00:00 AM,-73.579066,45.494788,51b2825f-1e39-422a-81c8-b2be7f4dee9e
12812,204442,Street,Rue Saint-Marc,2150,ACSA,Acer saccharinum,Silver Maple,5,6/10/2011 12:00:00 AM,-73.582421,45.493904,2d94027a-5f83-4ee7-acc2-384aeb8de249
13093,204317,Street,Rue Sainte-Catherine Ouest,1608,ACSA,Acer saccharinum,Silver Maple,5,5/14/2010 12:00:00 AM,-73.578127,45.494667,89275d1c-3a6a-4c71-a90a-343bce3c1c29
13108,204332,Street,Rue Sainte-Catherine Ouest,1920,ACSA,Acer saccharinum,Silver Maple,32,3/6/2012 12:00:00 AM,-73.58064,45.492524,1ea35521-a55b-454c-94c0-d0d0f2dfee56
13169,204393,Street,Rue Saint-Marc,1173,ACSA,Acer saccharinum,Silver Maple,48,1/12/2012 12:00:00 AM,-73.578148,45.491594,6a2c2fda-9336-4c48-a8a3-ed9dc45a797b
13173,204397,Street,Rue Saint-Marc,1209,ACSA,Acer saccharinum,Silver Maple,30,1/12/2012 12:00:00 AM,-73.57867,45.491891,62c7fc1f-7338-453f-bb79-1a085aefa8b7
13195,204419,Street,Rue Saint-Marc,2295,ACSA,Acer saccharinum,Silver Maple,5,5/30/2019 12:00:00 AM,-73.583097,45.494483,6e590371-9abd-4c5e-bc41-5e4aa2ba0abb
13197,204421,Street,Rue Saint-Marc,2295,ACSA,Acer saccharinum,Silver Maple,5,6/12/2018 12:00:00 AM,-73.583232,45.494561,3ee296f1-3f65-47d4-9da9-629273c8fa5d
13212,204436,Street,Rue Saint-Marc,1430,ACSA,Acer saccharinum,Silver Maple,33,6/27/2017 12:00:00 AM,-73.581011,45.493086,bc290720-9a10-4b69-8253-b20c06c9b545
14174,205009,Street,Rue Sherbrooke Ouest,1836,ACSA,Acer saccharinum,Silver Maple,25,3/6/2012 12:00:00 AM,-73.582905,45.495081,31df6309-54d9-4e8b-9080-b9c7c8535eb9
14177,205012,Street,Rue Sherbrooke Ouest,1850,ACSA,Acer saccharinum,Silver Maple,31,3/6/2012 12:00:00 AM,-73.583193,45.494751,053347c5-e6ae-4e3e-aeb7-26ca459e8235
14183,205018,Street,Rue Sherbrooke Ouest,1850,ACSA,Acer saccharinum,Silver Maple,29,3/6/2012 12:00:00 AM,-73.583268,45.494671,5a22afa5-bfb0-4c24-9b7c-8d6efadde963
14185,205020,Street,Rue Sherbrooke Ouest,1850,ACSA,Acer saccharinum,Silver Maple,30,3/6/2012 12:00:00 AM,-73.583111,45.494854,dc1ef93c-9d8a-4e72-94ad-9de3306710bd
14189,205024,Street,Rue Sherbrooke Ouest,1950,ACSA,Acer saccharinum,Silver Maple,22,3/6/2012 12:00:00 AM,-73.583738,45.494138,b7b21710-4a9a-46d2-bc39-5c671637ecce
14194,205029,Street,Rue Sherbrooke Ouest,2068,ACSA,Acer saccharinum,Silver Maple,25,3/6/2012 12:00:00 AM,-73.584903,45.493145,30170c49-5f70-43c4-974c-cf27cc930736
14201,205036,Street,Rue Sherbrooke Ouest,2090,ACSA,Acer saccharinum,Silver Maple,20,3/6/2012 12:00:00 AM,-73.585507,45.492783,41b6e653-42ff-467f-8bd1-fede78fff472
14202,205037,Street,Rue Sherbrooke Ouest,2090,ACSA,Acer saccharinum,Silver Maple,28,3/6/2012 12:00:00 AM,-73.585435,45.492828,92ab0047-535f-4404-8e1d-1aad5519fd13
14213,205048,Street,Rue Sherbrooke Ouest,2174,ACSA,Acer saccharinum,Silver Maple,24,3/6/2012 12:00:00 AM,-73.58656,45.492154,b05321e8-09f0-405d-91cf-677fd806a154
14215,205050,Street,Rue Sherbrooke Ouest,2330,ACSA,Acer saccharinum,Silver Maple,24,3/6/2012 12:00:00 AM,-73.587438,45.491563,c4892a4b-c8b1-4121-a1a7-8fa8e4514058
15249,205669,Street,Rue Sherbrooke Ouest,1639,ACSA,Acer saccharinum,Silver Maple,31,3/6/2012 12:00:00 AM,-73.58245,45.495925,5ef8a62c-4e57-4db3-a3ea-9f0dfa0e30eb
15252,205672,Street,Rue Sherbrooke Ouest,1669,ACSA,Acer saccharinum,Silver Maple,30,3/6/2012 12:00:00 AM,-73.583491,45.494748,0a5c628b-de58-4f35-9a3e-e5405cc1fb52
15334,205753,Street,Rue Sherbrooke Ouest,1669,ACSA,Acer saccharinum,Silver Maple,29,3/6/2012 12:00:00 AM,-73.583306,45.494961,55d9342f-9ecf-4078-bade-e773c4c36265
