fid,ObjectId,GlobalID,Date_relev,Classification,GS Type,Sample Site,No_civique,Site Code,DBH,Species Code,Species_Common,Species Latin,Genus,Latitude,Longitude,Area_Site
15538,205957,505c3958-b399-49ec-b0d3-c4f5303be57d,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,N/A,S16,24,ACSA,Silver Maple,Acer saccharinum,Acer,45.492615,-73.586195,1050.350953
15541,205960,f847cfb9-777c-4500-bfb7-e8cf186718bf,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,N/A,S16,28,ACSA,Silver Maple,Acer saccharinum,Acer,45.492437,-73.586484,1050.350953
15542,205961,9cb6b5f7-dc50-4d51-967a-f14c6496244b,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,N/A,S16,30,ACSA,Silver Maple,Acer saccharinum,Acer,45.492346,-73.586636,1050.350953
15543,205962,b7c259be-1841-492f-94d4-9adedd759e79,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,N/A,S16,24,ACSA,Silver Maple,Acer saccharinum,Acer,45.492252,-73.586794,1050.350953
15545,205964,cde97cc0-5635-4036-bfd4-c8004404368d,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,N/A,S16,29,ACSA,Silver Maple,Acer saccharinum,Acer,45.492645,-73.58613,1050.350953
15576,205995,7ffac6e8-1f99-4c57-bab7-632eec1cb9f4,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,N/A,S16,28,ACSA,Silver Maple,Acer saccharinum,Acer,45.492799,-73.585864,1050.350953
14194,205029,30170c49-5f70-43c4-974c-cf27cc930736,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,2068,S18,25,ACSA,Silver Maple,Acer saccharinum,Acer,45.493145,-73.584903,1095.370533
14201,205036,41b6e653-42ff-467f-8bd1-fede78fff472,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,2090,S18,20,ACSA,Silver Maple,Acer saccharinum,Acer,45.492783,-73.585507,1095.370533
14202,205037,92ab0047-535f-4404-8e1d-1aad5519fd13,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,2090,S18,28,ACSA,Silver Maple,Acer saccharinum,Acer,45.492828,-73.585435,1095.370533
15515,205934,98d2a470-d383-4d98-8a2a-9db812f191a7,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,1931,S22,22,ACSA,Silver Maple,Acer saccharinum,Acer,45.493624,-73.584523,1647.856765
15551,205970,4d5b2619-d7a2-43f8-918a-256c4b7189d9,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,N/A,S22,26,ACSA,Silver Maple,Acer saccharinum,Acer,45.492959,-73.5856,1647.856765
15517,205936,902f0090-a51d-4dca-9e0f-cbdd58ef7d4e,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,1931,S24,26,ACSA,Silver Maple,Acer saccharinum,Acer,45.494646,-73.583582,1473.363405
15518,205937,2995a729-8c1f-42ab-85d7-09d6261f8dbf,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,1931,S24,25,ACSA,Silver Maple,Acer saccharinum,Acer,45.494473,-73.583721,1473.363405
15519,205938,ee581a1f-bddc-4e28-91ad-33f2ad1764e9,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,1931,S24,22,ACSA,Silver Maple,Acer saccharinum,Acer,45.494392,-73.583804,1473.363405
14189,205024,b7b21710-4a9a-46d2-bc39-5c671637ecce,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,1950,S25,22,ACSA,Silver Maple,Acer saccharinum,Acer,45.494138,-73.583738,978.307623
13195,204419,6e590371-9abd-4c5e-bc41-5e4aa2ba0abb,5/30/2019 12:00:00 AM,Public,Street,Rue Saint-Marc,2295,S29,5,ACSA,Silver Maple,Acer saccharinum,Acer,45.494483,-73.583097,405.2754584
13197,204421,3ee296f1-3f65-47d4-9da9-629273c8fa5d,6/12/2018 12:00:00 AM,Public,Street,Rue Saint-Marc,2295,S29,5,ACSA,Silver Maple,Acer saccharinum,Acer,45.494561,-73.583232,405.2754584
12419,204440,884b204b-2f1a-4960-a559-7c34237f7f4e,6/27/2017 12:00:00 AM,Public,Street,Rue Saint-Marc,2000,S32,27,ACSA,Silver Maple,Acer saccharinum,Acer,45.493711,-73.582091,524.5353896
12812,204442,2d94027a-5f83-4ee7-acc2-384aeb8de249,6/10/2011 12:00:00 AM,Public,Street,Rue Saint-Marc,2150,S32,5,ACSA,Silver Maple,Acer saccharinum,Acer,45.493904,-73.582421,524.5353896
7982,198819,f0cd8fad-5a20-44f9-8d5f-9c1112e8077c,3/6/2012 12:00:00 AM,Public,Street,Boulevard de Maisonneuve Ouest,1939,S33,44,ACSA,Silver Maple,Acer saccharinum,Acer,45.493139,-73.582327,760.3387808
15252,205672,0a5c628b-de58-4f35-9a3e-e5405cc1fb52,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,1669,S35,30,ACSA,Silver Maple,Acer saccharinum,Acer,45.494748,-73.583491,1248.190326
15334,205753,55d9342f-9ecf-4078-bade-e773c4c36265,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,1669,S35,29,ACSA,Silver Maple,Acer saccharinum,Acer,45.494961,-73.583306,1248.190326
15349,205768,ca408380-dae9-4075-9ea5-21699382f358,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,1669,S35,71,ACSA,Silver Maple,Acer saccharinum,Acer,45.49516,-73.583131,1248.190326
15511,205930,03dae0da-bedb-4c26-a930-7b7ed8243593,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,1669,S35,24,ACSA,Silver Maple,Acer saccharinum,Acer,45.494889,-73.583368,1248.190326
15512,205931,7ad714fd-589c-48e4-a5b1-42c6368cfa77,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,1669,S35,25,ACSA,Silver Maple,Acer saccharinum,Acer,45.495571,-73.582771,1248.190326
15513,205932,bd4d8507-97b6-48f3-b152-940e476a3c7a,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,1669,S35,20,ACSA,Silver Maple,Acer saccharinum,Acer,45.495479,-73.582848,1248.190326
14174,205009,31df6309-54d9-4e8b-9080-b9c7c8535eb9,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,1836,S36,25,ACSA,Silver Maple,Acer saccharinum,Acer,45.495081,-73.582905,938.9506061
14177,205012,053347c5-e6ae-4e3e-aeb7-26ca459e8235,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,1850,S36,31,ACSA,Silver Maple,Acer saccharinum,Acer,45.494751,-73.583193,938.9506061
14183,205018,5a22afa5-bfb0-4c24-9b7c-8d6efadde963,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,1850,S36,29,ACSA,Silver Maple,Acer saccharinum,Acer,45.494671,-73.583268,938.9506061
14185,205020,dc1ef93c-9d8a-4e72-94ad-9de3306710bd,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,1850,S36,30,ACSA,Silver Maple,Acer saccharinum,Acer,45.494854,-73.583111,938.9506061
15938,205575,4e3bd01c-cc65-4c02-944a-b78d3425a144,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,1814,S36,46,ACSA,Silver Maple,Acer saccharinum,Acer,45.495439,-73.582591,938.9506061
15940,205577,fd3b93af-fa04-4494-8f32-8ae566665bb1,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,1826,S36,51,ACSA,Silver Maple,Acer saccharinum,Acer,45.495234,-73.58277,938.9506061
15934,205571,1106b28c-874f-4592-a257-c6f8dfed5e23,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,1620,S43,31,ACSA,Silver Maple,Acer saccharinum,Acer,45.496159,-73.581953,677.6550635
15936,205573,e7080fce-9a84-4a84-9ff1-4dd4b7fe689e,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,1620,S43,36,ACSA,Silver Maple,Acer saccharinum,Acer,45.495919,-73.582169,677.6550635
15937,205574,dd189c80-c383-4e74-b6db-2d5cf2f72bc6,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,1620,S43,31,ACSA,Silver Maple,Acer saccharinum,Acer,45.495843,-73.582237,677.6550635
15249,205669,5ef8a62c-4e57-4db3-a3ea-9f0dfa0e30eb,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,1639,S44,31,ACSA,Silver Maple,Acer saccharinum,Acer,45.495925,-73.58245,424.3021216
