"","X","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"318",332,"Dawson",1,"Private","Private","Y","Y116","AC","ACPL","ACPL","Acer platanoides","Norway Maple",32.2,"N","N","USDA/TC",""
"319",333,"Dawson",1,"Private","Private","Y","Y116","AC","ACPL","ACPL","Acer platanoides","Norway Maple",70,"N","N","USDA/TC",""
"320",334,"Dawson",1,"Private","Private","Y","Y116","AC","ACPL","ACPL","Acer platanoides","Norway Maple",38.8,"N","N","USDA/TC",""
"321",335,"Dawson",1,"Private","Private","Y","Y116","AC","ACPL","ACPL","Acer platanoides","Norway Maple",24.4,"N","N","USDA/TC",""
"322",336,"Dawson",1,"Private","Private","Y","Y116","AC","ACPL","ACPL","Acer platanoides","Norway Maple",25.9,"N","N","USDA/TC",""
"323",337,"Dawson",1,"Private","Private","Y","Y116","AC","ACPL","ACPL","Acer platanoides","Norway Maple",31,"N","N","USDA/TC",""
"324",338,"Dawson",1,"Private","Private","Y","Y116","AC","ACPL","ACPL","Acer platanoides","Norway Maple",29.5,"N","N","USDA/TC",""
"325",339,"Dawson",1,"Private","Private","Y","Y118","AC","ACPL","ACPL","Acer platanoides","Norway Maple",70.7,"N","N","USDA/TC",""
"326",340,"Dawson",1,"Private","Private","Y","Y118","AC","ACPL","ACPL","Acer platanoides","Norway Maple",57.1,"N","N","USDA/TC",""
"327",341,"Dawson",1,"Private","Private","Y","Y118","AC","ACPL","ACPL","Acer platanoides","Norway Maple",7.6,"N","N","USDA/TC",""
"328",342,"Dawson",1,"Private","Private","Y","Y118","AC","ACPL","ACPL","Acer platanoides","Norway Maple",35.9,"N","N","USDA/TC",""
"329",343,"Dawson",1,"Private","Private","Y","Y118","AC","ACPL","ACPL","Acer platanoides","Norway Maple",9.9,"N","N","USDA/TC",""
"330",344,"Dawson",1,"Private","Private","Y","Y118","AC","ACPL","ACPL","Acer platanoides","Norway Maple",9.1,"N","N","USDA/TC",""
